produit,quantite,prix,region
Imprimante,1,356.77,Centre
Téléphone,5,681.64,Sud
Imprimante,8,1134.59,Nord
Imprimante,8,194.04,Sud
Scanner,2,1023.89,Nord
Scanner,6,428.11,Est
Ordinateur,7,981.54,Sud
Ordinateur,1,1038.75,Nord
Téléphone,5,1105.8,Ouest
Ordinateur,6,1299.48,Ouest
Imprimante,7,1354.45,Sud
Scanner,9,1150.74,Sud
Ordinateur,3,747.59,Sud
Ordinateur,8,114.06,Est
Téléphone,3,1408.81,Centre
Téléphone,9,921.92,Ouest
Imprimante,8,825.13,Centre
Scanner,9,397.25,Est
Téléphone,5,1042.14,Sud
Ordinateur,9,1492.36,Nord
Scanner,3,528.54,Sud
Scanner,7,1209.39,Ouest
Ordinateur,3,472.13,Nord
Téléphone,6,757.21,Centre
Ordinateur,8,359.27,Sud
Scanner,2,793.54,Nord
Clavier,8,715.99,Sud
Clavier,1,106.43,Nord
Imprimante,4,603.62,Nord
Ordinateur,7,140.95,Sud
Ordinateur,1,703.41,Centre
Imprimante,6,1471.25,Est
Imprimante,6,474.82,Nord
Imprimante,7,797.68,Ouest
Scanner,9,238.78,Sud
Ordinateur,7,273.26,Nord
Scanner,3,565.43,Est
Imprimante,4,760.12,Nord
Ordinateur,1,1067.04,Nord
Scanner,5,712.2,Nord
Scanner,7,85.36,Est
Imprimante,3,442.89,Nord
Ordinateur,6,85.92,Est
Imprimante,3,1381.02,Sud
Ordinateur,4,92.1,Est
Clavier,5,121.91,Centre
Téléphone,6,482.5,Ouest
Téléphone,6,966.88,Centre
Téléphone,1,569.04,Ouest
Imprimante,8,139.27,Sud
Clavier,3,1262.56,Nord
Ordinateur,4,1065.32,Centre
Scanner,8,624.74,Centre
Ordinateur,5,1031.52,Centre
Scanner,6,448.15,Est
Ordinateur,1,815.41,Nord
Clavier,8,1326.74,Ouest
Scanner,5,206.14,Sud
Imprimante,1,1278.0,Ouest
Ordinateur,7,1193.4,Ouest
Ordinateur,2,1426.2,Nord
Scanner,6,794.98,Centre
Imprimante,3,448.62,Est
Imprimante,6,561.99,Est
Clavier,9,977.72,Est
Imprimante,6,254.15,Centre
Imprimante,1,559.92,Sud
Imprimante,6,1103.33,Ouest
Téléphone,3,881.93,Ouest
Clavier,4,140.99,Nord
Ordinateur,4,770.44,Nord
Scanner,9,810.11,Ouest
Ordinateur,8,1066.17,Centre
Clavier,7,65.45,Centre
Scanner,5,671.18,Sud
Clavier,4,1335.59,Ouest
Imprimante,3,86.47,Ouest
Scanner,1,1024.99,Centre
Imprimante,9,373.61,Sud
Ordinateur,8,611.85,Est
Ordinateur,1,1331.96,Est
Scanner,2,575.67,Nord
Scanner,1,840.9,Est
Clavier,1,179.98,Nord
Clavier,9,520.82,Sud
Imprimante,5,255.39,Sud
Scanner,3,864.26,Nord
Ordinateur,2,716.69,Ouest
Clavier,8,433.64,Est
Clavier,8,1499.45,Ouest
Ordinateur,6,272.25,Sud
Clavier,2,1246.95,Nord
Imprimante,1,101.85,Sud
Scanner,6,1277.91,Sud
Ordinateur,1,741.64,Nord
Scanner,6,1250.88,Est
Clavier,2,1133.42,Est
Clavier,7,880.32,Est
Ordinateur,2,588.77,Centre
Imprimante,2,1014.99,Nord
Téléphone,6,1257.19,Sud
Ordinateur,4,779.79,Est
Téléphone,6,651.56,Centre
Téléphone,8,257.2,Sud
Imprimante,3,1349.56,Centre
Téléphone,5,437.59,Centre
Téléphone,5,229.11,Est
Imprimante,9,146.02,Centre
Téléphone,7,1138.63,Ouest
Téléphone,9,1028.74,Nord
Téléphone,8,224.66,Nord
Ordinateur,3,818.71,Centre
Ordinateur,2,271.41,Sud
Ordinateur,3,606.18,Sud
Imprimante,6,1185.16,Centre
Clavier,4,380.36,Nord
Téléphone,1,90.19,Sud
Téléphone,9,330.34,Est
Imprimante,6,630.72,Ouest
Téléphone,1,400.44,Sud
Ordinateur,3,1097.22,Sud
Clavier,1,1194.31,Centre
Scanner,9,398.73,Ouest
Téléphone,4,439.5,Sud
Ordinateur,2,862.11,Nord
Scanner,4,1141.15,Nord
Clavier,2,1441.09,Est
Scanner,6,485.8,Nord
Ordinateur,6,1371.05,Sud
Scanner,7,313.55,Nord
Imprimante,9,109.54,Nord
Scanner,9,1199.12,Ouest
Téléphone,4,743.99,Nord
Téléphone,9,161.44,Sud
Imprimante,8,153.1,Sud
Ordinateur,1,69.75,Nord
Téléphone,7,494.17,Est
Clavier,7,1116.28,Ouest
Téléphone,4,1014.71,Ouest
Téléphone,7,1499.52,Sud
Ordinateur,5,911.2,Ouest
Scanner,5,210.18,Ouest
Téléphone,5,1468.83,Est
Imprimante,6,1054.81,Ouest
Scanner,7,592.35,Est
Clavier,5,408.14,Nord
Ordinateur,9,372.14,Ouest
Clavier,9,1436.54,Nord
Scanner,7,658.16,Nord
Scanner,3,755.87,Centre
Scanner,4,1263.36,Est
Clavier,4,1447.6,Est
Scanner,7,56.37,Est
Clavier,2,1485.85,Centre
Scanner,5,159.42,Est
Imprimante,4,1263.41,Sud
Scanner,9,1427.96,Sud
Clavier,1,863.61,Est
Téléphone,3,849.98,Nord
Scanner,6,1020.07,Nord
Téléphone,4,561.61,Centre
Imprimante,3,290.41,Centre
Ordinateur,6,146.3,Est
Imprimante,3,1327.6,Centre
Scanner,7,843.62,Sud
Téléphone,1,1056.4,Sud
Téléphone,9,531.48,Sud
Clavier,2,1220.16,Est
Téléphone,4,557.39,Sud
Clavier,6,93.15,Nord
Ordinateur,6,538.51,Centre
Scanner,8,1282.97,Ouest
Clavier,8,1320.04,Ouest
Ordinateur,4,1405.34,Nord
Téléphone,6,774.24,Sud
Téléphone,9,1437.06,Sud
Ordinateur,7,773.81,Ouest
Téléphone,8,273.18,Nord
Ordinateur,8,777.95,Sud
Clavier,2,1309.49,Sud
Clavier,7,1189.25,Sud
Ordinateur,3,679.38,Centre
Clavier,7,358.19,Centre
Clavier,2,892.62,Est
Clavier,1,1400.28,Ouest
Imprimante,9,307.36,Nord
Scanner,1,1249.21,Ouest
Téléphone,1,263.62,Est
Imprimante,3,1383.42,Ouest
Clavier,1,1055.22,Centre
Ordinateur,7,208.31,Sud
Clavier,7,343.52,Sud
Scanner,8,1394.04,Sud
Clavier,2,785.97,Est
Ordinateur,7,707.56,Sud
Scanner,9,134.49,Sud
Clavier,5,171.86,Centre
Scanner,3,1052.89,Sud
Téléphone,9,1176.55,Nord
Téléphone,1,1307.16,Est
Clavier,3,779.07,Ouest
Scanner,2,526.43,Nord
Ordinateur,2,957.01,Ouest
Clavier,3,947.38,Ouest
Téléphone,7,100.27,Ouest
Téléphone,6,1411.26,Sud
Clavier,9,981.71,Est
Scanner,3,59.38,Centre
Téléphone,5,1441.47,Centre
Scanner,9,1431.34,Est
Téléphone,3,1421.58,Nord
Téléphone,8,1338.9,Est
Imprimante,9,317.72,Ouest
Téléphone,7,1466.9,Centre
Ordinateur,6,1154.8,Sud
Clavier,6,979.1,Centre
Clavier,6,1416.87,Centre
Scanner,5,602.58,Ouest
Téléphone,7,1400.49,Ouest
Ordinateur,7,928.24,Centre
Scanner,7,889.98,Centre
Imprimante,3,986.63,Nord
Scanner,6,1143.53,Ouest
Scanner,9,695.13,Nord
Téléphone,9,1471.88,Nord
Imprimante,4,178.35,Sud
Scanner,9,1375.04,Nord
Ordinateur,2,1003.26,Ouest
Ordinateur,8,1369.38,Ouest
Clavier,2,584.7,Centre
Imprimante,5,1252.05,Nord
Imprimante,6,943.18,Sud
Clavier,2,1255.11,Est
Scanner,9,521.28,Centre
Imprimante,6,1380.09,Centre
Ordinateur,8,1390.15,Sud
Ordinateur,4,738.49,Ouest
Téléphone,3,630.46,Sud
Imprimante,4,884.03,Sud
Scanner,1,340.27,Ouest
Clavier,1,769.5,Centre
Clavier,8,1350.39,Ouest
Scanner,1,579.51,Est
Téléphone,5,1117.27,Nord
Clavier,9,953.53,Ouest
Imprimante,3,429.02,Est
Téléphone,2,821.06,Sud
Imprimante,5,1286.26,Est
Ordinateur,2,854.63,Nord
Téléphone,1,1060.42,Centre
Clavier,9,1174.31,Sud
Téléphone,9,121.63,Est
Téléphone,1,124.32,Centre
Téléphone,4,216.69,Est
Téléphone,5,286.35,Centre
Imprimante,2,1226.59,Est
Ordinateur,9,681.6,Est
Scanner,9,318.63,Sud
Téléphone,9,821.11,Sud
Clavier,8,1156.84,Sud
Téléphone,6,253.09,Est
Clavier,1,549.38,Sud
Imprimante,5,331.84,Est
Clavier,8,987.24,Nord
Scanner,4,248.41,Est
Ordinateur,8,1182.59,Est
Clavier,6,351.34,Est
Clavier,1,134.97,Centre
Ordinateur,1,1370.76,Sud
Scanner,3,533.16,Est
Téléphone,1,778.98,Ouest
Clavier,4,196.44,Sud
Ordinateur,3,745.22,Sud
Imprimante,7,372.72,Sud
Ordinateur,9,1268.55,Sud
Imprimante,7,1084.94,Centre
Scanner,5,1011.79,Ouest
Téléphone,1,1182.83,Ouest
Ordinateur,5,475.89,Est
Clavier,1,707.79,Ouest
Scanner,6,175.53,Ouest
Ordinateur,8,148.29,Centre
Clavier,7,527.18,Nord
Ordinateur,1,1242.98,Ouest
Imprimante,8,916.61,Ouest
Ordinateur,9,665.54,Est
Ordinateur,2,1452.14,Nord
Ordinateur,1,691.15,Centre
Scanner,6,729.87,Est
Ordinateur,4,1489.17,Nord
Clavier,7,240.48,Centre
Imprimante,3,420.64,Sud
Imprimante,3,707.29,Ouest
Ordinateur,8,878.37,Ouest
Scanner,7,264.72,Centre
Scanner,5,526.79,Sud
Clavier,3,369.38,Est
Ordinateur,1,1282.35,Est
Imprimante,3,1260.2,Sud
Scanner,9,397.76,Est
Ordinateur,1,680.64,Sud
Scanner,5,994.88,Nord
Scanner,4,119.84,Centre
Imprimante,6,1331.23,Ouest
Téléphone,2,790.98,Ouest
Clavier,4,378.48,Centre
Clavier,9,625.29,Sud
Imprimante,5,1357.42,Ouest
Scanner,8,85.94,Nord
Ordinateur,2,257.05,Nord
Scanner,9,329.47,Nord
Imprimante,7,137.16,Centre
Clavier,7,376.62,Sud
Scanner,2,1234.88,Est
Clavier,8,814.26,Centre
Ordinateur,9,927.88,Nord
Clavier,5,276.03,Est
Clavier,3,453.56,Centre
Téléphone,3,1380.36,Sud
Téléphone,6,355.14,Sud
Téléphone,1,1364.78,Sud
Clavier,9,1011.66,Centre
Imprimante,6,779.02,Sud
Clavier,9,302.23,Nord
Imprimante,3,1026.72,Centre
Imprimante,3,1335.28,Est
Téléphone,7,281.68,Ouest
Scanner,7,58.96,Ouest
Ordinateur,4,1123.09,Nord
Téléphone,8,920.67,Nord
Téléphone,2,779.48,Est
Scanner,1,711.27,Centre
Ordinateur,1,771.51,Nord
Clavier,2,593.15,Ouest
Clavier,6,169.38,Centre
Téléphone,8,1174.8,Est
Ordinateur,3,728.36,Nord
Téléphone,6,1246.18,Ouest
Imprimante,8,1474.22,Sud
Téléphone,9,299.04,Nord
Téléphone,8,1200.55,Sud
Clavier,7,1467.4,Centre
Clavier,4,1100.43,Centre
Clavier,3,406.65,Est
Imprimante,7,1349.9,Nord
Clavier,1,1200.17,Centre
Ordinateur,7,701.5,Nord
Scanner,6,880.22,Ouest
Ordinateur,3,1096.79,Ouest
Ordinateur,3,230.56,Ouest
Clavier,2,1394.13,Nord
Scanner,1,1481.79,Est
Scanner,5,529.27,Est
Scanner,7,1086.87,Centre
Imprimante,7,660.89,Ouest
Clavier,6,90.22,Sud
Scanner,6,1440.14,Centre
Imprimante,7,256.37,Est
Téléphone,8,158.67,Nord
Téléphone,5,1263.92,Sud
Imprimante,1,99.11,Sud
Imprimante,7,1047.44,Centre
Clavier,2,1398.61,Sud
Clavier,5,638.97,Centre
Téléphone,7,149.11,Sud
Scanner,7,366.52,Nord
Téléphone,9,1425.07,Ouest
Scanner,5,724.81,Sud
Scanner,6,834.97,Nord
Clavier,6,276.29,Ouest
Ordinateur,1,1381.12,Nord
Ordinateur,7,799.84,Ouest
Imprimante,7,816.85,Sud
Clavier,4,885.27,Ouest
Scanner,4,1162.69,Centre
Ordinateur,6,344.28,Ouest
Scanner,3,1416.38,Sud
Ordinateur,6,304.34,Centre
Ordinateur,4,336.25,Centre
Ordinateur,8,67.99,Ouest
Clavier,5,78.54,Nord
Téléphone,8,671.82,Nord
Scanner,9,315.31,Centre
Clavier,4,357.26,Nord
Clavier,1,1482.5,Ouest
Clavier,7,1397.51,Ouest
Clavier,7,517.56,Centre
Clavier,5,547.58,Centre
Imprimante,5,473.54,Nord
Scanner,1,1329.24,Nord
Clavier,3,192.51,Sud
Scanner,1,896.92,Est
Imprimante,7,320.14,Est
Imprimante,5,1149.32,Nord
Scanner,4,965.47,Centre
Ordinateur,7,612.37,Sud
Téléphone,9,192.26,Nord
Ordinateur,6,1162.74,Sud
Ordinateur,9,161.7,Est
Ordinateur,6,446.93,Est
Clavier,9,417.79,Nord
Imprimante,6,888.86,Nord
Ordinateur,9,794.91,Sud
Imprimante,3,455.63,Nord
Scanner,5,674.04,Ouest
Téléphone,5,682.73,Nord
Scanner,8,881.66,Est
Scanner,7,1352.45,Est
Clavier,2,255.8,Sud
Téléphone,2,858.66,Nord
Scanner,7,76.65,Est
Scanner,4,1062.42,Ouest
Téléphone,6,978.57,Centre
Téléphone,9,1056.32,Nord
Scanner,4,738.67,Ouest
Téléphone,7,320.94,Ouest
Scanner,9,699.72,Sud
Scanner,1,84.22,Sud
Clavier,2,603.08,Sud
Ordinateur,9,1265.93,Centre
Scanner,5,540.95,Est
Imprimante,4,908.04,Sud
Ordinateur,7,428.62,Ouest
Ordinateur,5,244.62,Centre
Ordinateur,1,805.34,Nord
Clavier,9,101.86,Est
Scanner,8,1361.5,Ouest
Clavier,3,1176.91,Sud
Scanner,3,1496.98,Centre
Clavier,3,1490.12,Centre
Clavier,7,1107.03,Nord
Imprimante,2,1176.2,Est
Clavier,9,815.73,Nord
Téléphone,4,366.89,Est
Imprimante,7,1222.19,Nord
Clavier,8,441.06,Ouest
Ordinateur,5,992.48,Est
Téléphone,8,1109.77,Ouest
Téléphone,4,868.22,Ouest
Téléphone,2,1010.95,Sud
Imprimante,3,474.72,Est
Clavier,6,1152.75,Centre
Clavier,6,1418.14,Sud
Ordinateur,7,751.81,Sud
Ordinateur,4,225.42,Ouest
Téléphone,8,948.59,Est
Ordinateur,8,545.05,Ouest
Imprimante,7,657.7,Nord
Clavier,3,269.86,Nord
Téléphone,3,957.39,Centre
Ordinateur,2,1191.51,Est
Imprimante,7,1161.34,Ouest
Imprimante,6,1491.13,Ouest
Ordinateur,7,357.69,Ouest
Clavier,2,1375.51,Sud
Ordinateur,4,1112.3,Nord
Téléphone,1,1075.85,Est
Ordinateur,2,1041.45,Centre
Imprimante,7,830.63,Sud
Ordinateur,5,599.04,Centre
Clavier,3,1417.85,Ouest
Scanner,2,269.08,Sud
Ordinateur,3,305.17,Ouest
Clavier,4,74.24,Ouest
Clavier,5,1122.11,Nord
Imprimante,8,1346.28,Centre
Clavier,9,319.76,Ouest
Clavier,2,99.91,Est
Clavier,3,403.95,Ouest
Clavier,4,1331.32,Centre
Téléphone,7,73.47,Centre
Téléphone,6,196.68,Est
Imprimante,6,86.23,Est
Ordinateur,7,1417.57,Nord
Clavier,1,246.48,Centre
Ordinateur,8,1355.61,Nord
Ordinateur,9,736.49,Est
Imprimante,2,622.54,Est
Clavier,1,668.44,Sud
Clavier,4,657.07,Ouest
Scanner,2,545.51,Nord
Ordinateur,6,1225.66,Sud
Ordinateur,3,786.59,Sud
Téléphone,9,1486.92,Sud
Scanner,8,800.77,Est
Téléphone,7,1236.79,Sud
Téléphone,7,1130.39,Ouest
Téléphone,7,631.6,Sud
Imprimante,5,1193.52,Centre
Imprimante,8,274.7,Sud
Téléphone,4,344.85,Est
Scanner,5,947.38,Est
Ordinateur,3,1081.77,Centre
Scanner,3,983.55,Centre
Clavier,2,788.69,Centre
Imprimante,5,249.53,Est
Ordinateur,2,590.5,Ouest
Ordinateur,4,927.09,Sud
Clavier,1,377.8,Centre
Clavier,2,974.86,Sud
Téléphone,1,389.71,Sud
Imprimante,2,191.89,Nord
Imprimante,4,520.29,Sud
Scanner,1,445.49,Nord
Téléphone,6,1225.15,Est
Téléphone,1,751.24,Sud
Téléphone,3,142.86,Ouest
Téléphone,2,1232.57,Sud
Imprimante,2,439.6,Ouest
Imprimante,4,873.42,Est
Téléphone,9,835.21,Centre
Scanner,3,1458.8,Est
Ordinateur,6,419.66,Est
Ordinateur,3,260.52,Centre
Scanner,5,424.71,Ouest
Téléphone,9,885.87,Centre
Imprimante,3,365.44,Nord
Ordinateur,8,543.68,Nord
Clavier,6,1004.18,Est
Clavier,8,218.9,Est
Scanner,2,1420.69,Sud
Téléphone,9,821.91,Est
Ordinateur,1,751.22,Sud
Téléphone,3,576.41,Centre
Ordinateur,4,406.21,Centre
Scanner,6,750.93,Nord
Scanner,4,755.09,Nord
Clavier,2,131.38,Nord
Téléphone,3,1278.71,Est
Clavier,3,1240.11,Sud
Téléphone,6,699.32,Centre
Clavier,5,538.3,Centre
Imprimante,5,773.45,Ouest
Imprimante,4,371.08,Centre
Imprimante,4,51.22,Nord
Imprimante,9,563.74,Est
Ordinateur,7,76.11,Est
Imprimante,8,109.02,Ouest
Scanner,4,92.73,Centre
Scanner,3,1326.09,Est
Ordinateur,1,258.23,Ouest
Imprimante,9,418.79,Ouest
Imprimante,9,760.89,Sud
Imprimante,2,817.5,Sud
Clavier,4,227.0,Ouest
Téléphone,4,1368.79,Centre
Clavier,1,385.07,Centre
Téléphone,2,1416.75,Est
Imprimante,8,422.47,Est
Imprimante,6,53.76,Nord
Clavier,1,1459.2,Nord
Clavier,7,751.39,Nord
Téléphone,7,1324.19,Centre
Scanner,6,1114.8,Centre
Téléphone,8,309.58,Ouest
Clavier,5,1275.64,Ouest
Clavier,2,124.06,Est
Ordinateur,4,785.96,Est
Clavier,8,418.46,Nord
Ordinateur,8,574.3,Ouest
Scanner,5,1147.69,Ouest
Téléphone,6,1040.91,Nord
Téléphone,9,688.12,Sud
Ordinateur,2,116.58,Centre
Téléphone,5,107.88,Est
Clavier,9,1068.2,Est
Imprimante,3,1425.8,Centre
Ordinateur,6,1278.54,Centre
Téléphone,4,227.17,Nord
Ordinateur,4,225.78,Ouest
Ordinateur,3,935.27,Ouest
Imprimante,1,1003.54,Centre
Clavier,8,943.91,Ouest
Ordinateur,5,1333.82,Centre
Téléphone,2,384.96,Centre
Scanner,1,299.83,Ouest
Ordinateur,1,1375.54,Centre
Ordinateur,4,1097.12,Ouest
Imprimante,4,1082.0,Nord
Clavier,6,536.3,Centre
Scanner,7,960.41,Est
Téléphone,1,1103.72,Nord
Scanner,2,920.4,Sud
Téléphone,3,1117.52,Sud
Clavier,9,905.57,Centre
Téléphone,4,1473.95,Centre
Imprimante,6,763.4,Est
Imprimante,2,68.08,Nord
Imprimante,2,286.85,Nord
Imprimante,2,1448.03,Centre
Scanner,5,730.8,Nord
Clavier,9,224.76,Est
Téléphone,6,275.94,Est
Téléphone,9,91.98,Centre
Imprimante,6,378.19,Sud
Imprimante,9,1480.64,Est
Ordinateur,5,526.78,Ouest
Clavier,1,412.87,Centre
Scanner,6,1018.05,Ouest
Téléphone,4,1027.59,Centre
Ordinateur,9,1453.36,Est
Ordinateur,6,1107.92,Centre
Téléphone,1,209.45,Est
Scanner,6,1479.12,Sud
Ordinateur,3,1137.84,Nord
Ordinateur,3,425.86,Centre
Clavier,7,428.73,Nord
Scanner,2,1442.0,Nord
Ordinateur,9,329.32,Centre
Scanner,9,380.0,Sud
Téléphone,7,570.45,Ouest
Imprimante,9,1035.23,Ouest
Ordinateur,6,673.1,Centre
Clavier,9,501.33,Centre
Téléphone,2,438.06,Centre
Scanner,5,231.39,Ouest
Téléphone,6,842.07,Est
Ordinateur,6,446.45,Sud
Scanner,4,530.65,Ouest
Imprimante,4,61.3,Centre
Téléphone,5,820.3,Nord
Ordinateur,6,1059.81,Centre
Clavier,8,1394.92,Est
Scanner,1,335.83,Nord
Téléphone,8,1383.08,Ouest
Téléphone,2,573.64,Sud
Imprimante,7,1213.47,Sud
Imprimante,4,1350.36,Est
Clavier,8,1443.98,Est
Clavier,6,521.89,Sud
Ordinateur,5,427.66,Est
Ordinateur,5,687.37,Nord
Clavier,4,854.25,Centre
Clavier,3,1051.44,Nord
Scanner,3,1053.22,Centre
Imprimante,3,219.14,Centre
Ordinateur,7,937.14,Centre
Imprimante,8,293.41,Sud
Imprimante,8,1081.48,Est
Clavier,2,1466.04,Est
Scanner,3,1167.8,Centre
Téléphone,2,1057.37,Ouest
Scanner,6,162.35,Nord
Scanner,3,317.72,Sud
Imprimante,6,565.1,Est
Scanner,4,1403.54,Est
Ordinateur,6,529.79,Ouest
Imprimante,3,1229.97,Sud
Ordinateur,5,200.44,Centre
Téléphone,8,1009.9,Nord
Imprimante,3,1179.71,Ouest
Téléphone,9,837.24,Ouest
Imprimante,9,1161.93,Sud
Clavier,7,1099.31,Centre
